Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
AB Mauri,www.abmauri.com,,,,,,,
Abanca,www.abanca.com,,,Financial services,"Retail banking
Commercial banking","Betanzos, Spain",,
ABB,www.abb.com,,,Conglomerates,,"Zurich,Switzerland",,"ABB operates as a power and automation technology company. The company provides solutions for secure, energy-efficient generation, transmission and distribution of electricity, and for increasing productivity in industrial, commercial and utility operations. It operates through five segments: Power Products; Power Systems; Discrete Automation and Motion; Low Voltage Products; and Process Automation. The Power Products segment manufactures products that can be placed in three categories: high-voltage products, medium-voltage products and transformers. The Power systems segment serves utilities, as well as industrial and commercial customers with system solutions and services for the generation, transmission and distribution of electricity. This segment delivers solutions through four businesses: power generation, grid systems, substations and network management. The Discrete Automation and Motion segment offers a wide range of products and services including drives, motors, generators, power electronics systems, rectifiers, power quality and power protection products, mechanical power transmission of rotating equipment, traction converters, solar inverters, wind turbine converters, electric vehicle charging infrastructure, programmable logic controllers, and industrial robots. This segment provides low-voltage and medium-voltage drive products and systems for industrial, commercial and residential applications. The Low Voltage Products segment offers a wide range of products and systems, with related services, that provide protection, control and measurement for electrical installations, enclosures, switchboards, electronics and electromechanical devices for industrial machines and plants. The Process Automation segment provides products, systems, and services for the automation and electrification of industrial processes. ABB was founded on January 5, 1988 and is headquartered in Zurich, Switzerland."
ABB Group,www.abb.com,,,Electrical equipment,"Power, Automation","Zürich, Switzerland",,
Abbott Laboratories,www.abbott.com,,,Pharmaceuticals,,"Abbott Park, Illinois,United States",,"Abbott Laboratories engages in the discovery, development, manufacture and sale of a broad and diversified line of health care products. It operates through four reportable segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Vascular Products. The Established Pharmaceutical Products segment includes branded generic pharmaceuticals manufactured, marketed and sold outside the United States and are generally sold directly to wholesalers, distributors, government agencies, health care facilities, specialty pharmacies, and independent retailers from its owned distribution centers and public warehouses, depending on the market served. The Diagnostic Products segment covers diagnostic systems and tests manufactured, marketed, and sold worldwide to blood banks, hospitals, commercial laboratories, clinics, physicians' offices, government agencies, alternate-care testing sites, and plasma protein therapeutic companies. The segment's products are generally marketed and sold directly from Abbott-owned distribution centers, public warehouses and third-party distributors. The Nutritional Products segment includes pediatric and adult nutritional products manufactured, marketed, and sold worldwide. Its products are generally marketed and sold directly to customers and to institutions, wholesalers, retailers, health care facilities, government agencies, and third-party distributors from owned distribution centers or third-party distributors. The Vascular Products segment includes coronary, endovascular, vessel closure, and structural heart devices for the treatment of vascular disease manufactured, marketed and sold worldwide. The segment's products are generally marketed and sold directly to hospitals from Abbott-owned distribution centers and public warehouses. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL."
AbbVie,www.abbvie.com,,,Pharmaceuticals,,"North Chicago, Illinois,United States",,"AbbVie, is a research-based biopharmaceutical company. It engages in the discovery, development, manufacture and sale of a broad line of proprietary pharmaceutical products. The company's focused on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology and dermatology; oncology, including blood cancers; virology, including hepatitis C and human immunodeficiency virus; neurological disorders, such as Parkinson's disease; metabolic diseases, including thyroid disease and complications associated with cystic fibrosis; as well as other serious health conditions. The company was founded on April 10, 2012 and is headquartered in North Chicago, IL."
AbbVie ,www.abbvie.com,,,Biopharmaceutical,,"Lake Bluff, Illinois, United States",,
ABC Islamic Bank,www.arabbanking.comworldIslamicBankEn,,,Banking," Islamic Commercial Banking Services
Islamic Treasury Services
Islamic Investment and Asset Management Services
Islamic Investment Banking and Other Specialist Products","ABC Tower, Bahrain",,
Abelag Aviation,www.abelag.com,,,airline,,"Zaventem, Belgium",,
Abengoa,www.abengoa.com,,,"Technology, engineering","Solar energy and bioenergydevices, IT, water and waste treatment, construction of telecom networks, power stations, infrastructure","Seville, Spain",,
Abercrombie & Fitch,www.abercrombie.com,,,Retail," 
Apparel accessories personal care footwear","New Albany, Ohio, United States",,
Abertis,www.abertis.com,,,Other Transportation,,"Barcelona,Spain",,"Abertis Infraestructuras SA engages in the management of mobility and communications infrastructures. The company operates its business through the four segments: Toll Roads, Telecommunications, Airports and Other. The Toll Roads segment engages in the construction, maintenance and operation of toll roads under concession; management of toll road concessions in Spain and internationally; construction of toll road infrastructure and of activities complementary to toll road construction, maintenance and operation. The Telecommunications segment engages in the infrastructure and communication of network as well as providing, managing, marketing and distributing all types of services based thereon, including establishing and operating fixed and mobile telecommunication networks and providing all type of service over these networks. The Airports segment engages in the construction and management of airports. The Other segment provides services and financing to Group companies. The company was founded on February 24, 1967 and is headquartered in Barcelona, Spain."
ABLV Bank,www.ablv.com,,,Financial services,"private banking, investment and financial planning","Riga, Latvia",,
Ablynx,www.ablynx.com,,,Biotechnology,Nanobodies,,,
ABN AMRO,www.abnamro.com,,0900-0024,Financial services,"Asset management
Commercial banking
Investment banking
Private banking
Retail banking","Amsterdam, Netherlands",,"ABN AMRO serves retail, private and corporate banking clients with a primary focus on the Netherlands and with selective operations internationally. In the Netherlands, clients are offered a comprehensive and full range of products and services through omni-channel distribution including advanced mobile application and internet banking. Internationally, we are active in areas in which we have substantial expertise."
Aboitiz Equity Ventures,www.aboitiz.com,,,Conglomerates,,"Cebu City,Philippines",,"Aboitiz Equity Ventures, operates as a holding company that engages in management operations of the Aboitiz Group. It operates through the following segments: Power, Food Manufacturing and Financial Services. The Power segment includes power generation and electricity distribution. The Food Manufacturing segment breeds swine and produces flour and feeds. The Financial Services segment deals with banking operations. The company was founded on September 11, 1989 and is headquartered in Cebu City, Philippines."
ABS Capital,www.abscapital.com,,,Private equity," Venture capital
Growth capital","Baltimore, Maryland"," 400 East Pratt Street
Baltimore, Maryland, ",
Abt Sportsline,www.abt-sportsline.deen,,,"Automotive industry, Motorsport","Specialist car body styling parts, engine tuning","Kempten im Allgäu, Germany",,
Abu Dhabi Commercial Bank,www.adcb.com,,,Financial Services,,"Abu Dhabi,United Arab Emirates",,"Abu Dhabi Commercial Bank engages in the provision of retail, commercial, and Islamic banking, and other financial services. It operates through the following business segments: Consumer Banking, Wholesale Banking, Investments and Treasury Banking, and Property Management. The Consumer Banking segment covers consumer, retail, wealth management, and Islamic operations divisions. The Wholesale Banking includes business and investment banking, cash management, trade and corporate finance, Indian operations, and infrastructure and strategic client operations. The Investment and Treasury Banking segment focuses on central treasury operations, investment portfolio and interest rate management, and provides currency and commodity derivative portfolio services. The Property Management segment comprises real estate management and engineering service operations. The company was founded on July 1, 1985 and is headquartered in Abu Dhabi, United Arab Emirates."
Abu Dhabi Islamic Bank,www.adib.ae,,,Financial Services,,"Abu Dhabi,United Arab Emirates",,"Abu Dhabi Islamic Bank engages in banking, financing, and investing activities. It operates through the following segments: Global Retail Banking, Global Wholesale Banking, Private Banking, Treasury, Real Estate, and Other Operations. The Global Retail Banking segment handles small and medium businesses and deposits of individual customers, and provides consumer and commercial murabahat, Ijara, Islamic covered card, and funds transfer and trade finance facilities. The Global Wholesale Banking segment covers financing, other credit facilities, deposits, and current accounts for corporate and institutional customers. The Private Banking segment includes financing, other credit facilities, deposits, and current accounts for high net worth individual customers. The Treasury segment comprises of money market; trading and treasury services; and management of funding operations of the bank by use of investment deposits. The Real Estate segment acquires, sells, develops, and leases land and buildings. The Other Operations segment consists of head office, subsidiaries, associates, and joint ventures which are not included in other segments. The company was founded on May 20, 1997 and is headquartered in Abu Dhabi, United Arab Emirates."
ABU QIR Fertilizers and Chemicals Industries Company,www.abuqir.com,,,Fertilizer,,"Abu Qir, Alexandria, Egypt",,
ACC Loan Management,www.accloanmanagement.ie,,,commercial bank,managing the lending facilities,Ireland,,
Accenture,www.accenture.com,,,"Professional services
Technology services",,"Dublin,Ireland",,"Accenture plc is a global professional services company, providing services and solutions in strategy, consulting, digital, technology and operations. The company’s business is structured around five operating groups, which together comprise thirteen industry groups serving clients in major industries around the world, namely, Communications, Media & Technology, Financial Services, Health & Public Service, Products and Resources. The Communications, Media & Technology operating group serves the communications, electronics and high tech, and media and entertainment industries. The Communications industry group serves wireline, wireless, cable and satellite communications and service providers. The Electronics & High Tech industry group serves the information and communications technology, software, semiconductor, consumer electronics, aerospace and defense, and medical equipment industries. The Media & Entertainment industry group serves the broadcast, entertainment, print, publishing and Internet/social media industries. The Financial Services operating group serves the banking, capital markets and insurance industries. The Banking & Capital Markets industry group serves retail and commercial banks, mortgage lenders, investment banks, wealth and asset management firms, broker/dealers, depositories, exchanges, clearing and settlement organizations, and other diversified financial enterprises. The Insurance industry group serves property and casualty insurers, life insurers, reinsurance firms and insurance brokers. The Health & Public Service operating group serves healthcare payers and providers, as well as government departments and agencies, public service organizations, educational institutions and non-profit organizations around the world. The Health industry group works with healthcare providers, such as hospitals, public health systems, policy-making authorities, health insurers (payers), and industry organizations and associations around the world to improve the quality, accessibility and productivity of healthcare. The Public Service industry group helps governments transform the way they deliver public services and engage with citizens. The Products operating group serves a set of increasingly interconnected consumer-relevant industries, and comprises the following industry groups: Consumer Goods, Retail & Travel Services, Industrial and Life Sciences. The Consumer Goods, Retail & Travel Services industry group serves food and beverage, household goods, personal care, tobacco, fashion/apparel, agribusiness and consumer health companies; supermarkets, hardline retailers, mass-merchandise discounters, department stores and specialty retailers; as well as airlines and hospitality and travel services companies. The Industrial industry group works with automotive manufacturers and suppliers; freight and logistics companies; industrial and electrical equipment, consumer durable and heavy equipment companies; and construction and infrastructure management companies. The Life Sciences industry group serves pharmaceutical, medical technology and biotechnology companies. The Resources operating group serves the chemicals, energy, forest products, metals and mining, utilities and related industries. The Resources operating group comprises the following industry groups: Chemicals & Natural Resources, Energy and Utilities. The Chemicals & Natural Resources industry group works with a wide range of industry segments, including petrochemicals, specialty chemicals, polymers and plastics, gases and agricultural chemicals, as well as the metals, mining, forest products and building materials industries. The Energy industry group serves a wide range of companies in the oil and gas industry, including upstream, downstream, oil services and new energy companies. The Utilities industry group works with electric, gas and water utilities around the world. The company was founded in 1989 and is headquartered in Dublin, Ireland."
Access Industries,www.accessindustries.com,,,Conglomerate," Music
Entertainment
Chemistry
Natural resource","New York City, New York, United States",,
AccessBank Azerbaijan,www.accessbank.az,,,Banking,Financial Services,"Baku, Azerbaijan",,
Acciona,www.acciona.es,,,Construction Services,,"Alcobendas,Spain",,"Acciona SA is an investment holding company, which engages in providing infrastructure, energy and water services. It operates within the following business divisions, including Infrastructure, Energy, Water and Other Businesses. The Infrastructure division deals with public works and building projects. The Energy division handles the operation of renewable energy power plants. The Water division focuses on water treatment and reverse osmosis desalination. The Other Businesses division provides financial services, fund management and stock broking. The company was founded in 1997 and is headquartered in Alcobendas, Spain."
Accor,www.accor.com,,,Hotels & Motels,,"Paris,France",,"Accor SA is a holding company that engages in the operation and investment in hotel properties. It operates through the Hotel Invest and Hotel Service businesses. Hotel Invest include ownership and investments in hotel properties. Hotel Services involves hotel operator and brand franchiser. The company was founded by Paul Dubrule and Gérard Pélisson on April 22, 1960 and is headquartered in Paris, France."
AccorHotels,www.accorhotels-group.com,,"Tel. +33 (0)1 61 61 80 80
Fax +33 (0)1 61 61 79 00","Hospitality, tourism",Hotels and resorts,"Paris, France","2, rue de la Mare-Neuve
91021 Evry Cedex","We are much more than a world leader. We are 240,000 hoteliers with the same shared passion for welcoming. We take care of millions of guests in our 4,100 addresses and on our digital platforms. As an operator and franchisor (HotelServices), owner and investor (HotelInvest), we invest all our energy into making “Feel Welcome” resonate as the finest hotel promise."
ACE Bakery,www.acebakery.com,,,,,,,
Acer ,www.acer.com,,"(408) 533-7700 – Phone
(408) 533-4555 – Fax
(408) 533-4574 – Sales Fax "," Computer hardware
Electronics","Desktops, laptops, netbooks, servers, smartphones, tablet computers, storage, handhelds, monitors, televisions LED, LCD & Plasma, video projectors, e-business","New Taipei, Taiwan","333 West San Carlos Street
Suite 1500
San Jose, CA 95110","To truly empower people, Acer understands that customers are the essence of our business practices. As such, we take a ""customer-centric"" approach as one of our core values and is the foundation for all decisions. Acer believes in placing first priority on listening and satisfying customer needs, and then delivering first-class products and services. This mindset begins from the technology concept, to research and design, to delivery, and efficient after-sales service. Only by doing so, may our customers be truly empowered with Acer's technology."
Ackermans & van Haaren,www.avh.be,,,Conglomerate holding company,"Contracting and dredging, real estate investment, private banking, private equity","Antwerp, Belgium
Antwerp, Belgium
 Antwerp, Belgium",,
Acme Bread Company,www.acmebread.com,,,Food production,Bread,"Berkeley,  United States",,
Acme Brick,www.brick.com,,,Manufacturing and Distribution,"Brick, Tile, Concrete Block, Glass Block Systems, and Cut Natural Stone","Fort Worth, United States",,
Acromas Holdings,www.acromas.com,,,Holding company,,"Folkestone, Kent, United Kingdom",,
Actelion,www.actelion.com,,,Pharmaceuticals,,"Allschwil,Switzerland",,"Actelion operates as a holding company with interests in developing, producing and marketing pharmaceutical drugs. It is a biopharmaceutical company, which focuses on the drug discovery, development, registration, production and commercialization of innovative drugs for diseases with significant unmet medical needs. The company's portfolio of PAH treatments covers the spectrum of disease, from WHO Functional Class (FC) II through to FC IV, with oral, inhaled and intravenous medications. It has treatments for specialist diseases, including Type 1 Gaucher disease, Niemann-Pick type C disease, digital ulcers in patients suffering from systemic sclerosis and mycosis fungoides in patients with cutaneous T-cell lymphoma. The company products include Tracleer (bosentan), Zavesca (miglustat), Ventavis (iloprost), Veletri (epoprostenol for injection), Valchlor and Opsumit (macitentan). Actelion was founded by Jean-Paul Clozel, Martine Clozel, Walter Fischli, André J. Mueller, and Thomas Widmann on December 17, 1997 and is headquartered in Allschwil, Switzerland."
Action Group,www.actiongroup.co.in,,,Conglomerate,"Sports shoes, Steel, Chemicals, Retail, MDF, Particle board, UPS, Infrastructure and PVC","New Delhi, India",,
Activision Blizzard,www.activisionblizzard.com,,(310) 255-2000," Computer and video games
Interactive entertainment","Activision:
Call of Duty series
Destiny
Guitar Hero series
Skylanders series
Tony Hawk's series
Blizzard Entertainment:
Diablo series
Heroes of the Storm
Overwatch
StarCraft series
Warcraft series
King Digital:
Candy Crush Saga","Santa Monica,  United States","3100 Ocean Park Boulevard
Santa Monica, California 90405","Headquartered in Santa Monica, California, Activision Blizzard,, is the world's most successful standalone interactive entertainment company. Our portfolio includes some of the strongest franchises in all of entertainment, developed by the incredibly talented teams at Activision Publishing, Blizzard Entertainment, King Digital Entertainment and our independent studios, including Toys for Bob, Infinity Ward, Sledgehammer Games and Treyarch. Our entertainment network has nearly 500 million monthly active users in 196 countries, and we’re continuing to expand our capabilities across new platforms, genres, audiences and geographies. We’re proud to have been named one of FORTUNE’s ""100 Best Companies To Work For®"" in 2015 and our 9,000+ employees are some of the best and brightest talents across entertainment, media and technology.

Activision Blizzard has five operating units:

Activision develops, distributes, and publishes deeply immersive interactive entertainment for gaming consoles, mobile and tablet platforms, and PCs, including blockbuster franchises like Call of Duty®, Skylanders® and Destiny®.

Blizzard Entertainment develops, distributes and publishes some of the most iconic entertainment experiences in gaming, such as World of Warcraft®, StarCraft®, Diablo®, Hearthstone®, and Heroes of the Storm™, for PCs, mobile and tablet platforms, and consoles. 

King Digital Entertainment creates leading interactive entertainment for the mobile world. With more than 200 fun titles, King's franchises include Candy Crush ®, Farm Heroes®, Pet Rescue®, and Bubble Witch®.

Media Networks builds on Activision Blizzard's competitive gaming leadership by creating all-new ways to deliver best-in-class fan experiences across games, platforms and geographies. 

Activision Blizzard Studios makes original film and television content based on our library of iconic and globally-recognized intellectual properties. 

 

Our roster of iconic franchises includes:

World of Warcraft®

StarCraft®

Diablo®

Hearthstone®

Heroes of the Storm™

Overwatch™(coming in 2016)

Call of Duty®

Skylanders®

Destiny®

Candy Crush Saga®

Candy Crush Soda Saga™

Candy Crush Jelly Saga

Farm Heroes Saga®

Pet Rescue®

Bubble Witch®"
Acuity Brands Inc,www.acuitybrands.com,,,"Home Furnishings
Fixtures",Consumer Goods,"Atlanta, GA, United States",,
Acumen,www.acumen.org,,"T: +1 (212) 566-8821
F: +1 (212) 566-8817",,,"New York, United States","40 Worth Street, Suite 303
New York, NY, 10013, USA","Acumen raises charitable donations to invest in companies, leaders, and ideas that are changing the way the world tackles poverty."
Adani Enterprises,www.adani.com,,,Trading Companies,,"Ahmedabad,India",,"Adani Enterprises engages in the businesses of coal trading, coal mining, oil & gas exploration, ports, multimodal logistics, power generation & transmission, gas distribution and edible oil & agro commodities. It operates through six segments: Trading, Power, Port, Agro, Real Estate and Others. The company was founded by Gautam Shantilal Adani in 1988 and is headquartered in Ahmedabad, India."
Adani Group,www.adani.com,,,Conglomerate,"Resources, Logistics, Energy & Agribusiness","Ahmedabad, Gujarat, India",,
Addiko Bank,www.addiko.com,,,Finance and Insurance,"Commercial banking, Investment banking, Leasing, Asset management","Klagenfurt, Austria",,
Adecco,www.adecco.com,,,Business & Personal Services,,"Glattbrugg,Switzerland",,"Adecco Group AG provides human resource services such as temporary staffing, permanent placement, outsourcing, career transition or outplacement, and related services. Its business lines include office, industrial, Information Technology, engineering and technical, finance and legal, medical and science, as well as solutions involving career transition and talent development, managed service programmes, recruitment process outsourcing, and vendor management system. It operates through the Lee Hecht Harrison global business and the following geographic segments: France, North America, United Kingdom and Ireland, Germany and Austria, Japan, Italy, Benelux, Nordics, Iberia, Australia and New Zealand, Switzerland, and Emerging Markets. The company was founded on May 18, 1967 and is headquartered in Glattbrugg, Switzerland."
Adidas,www.adidas-group.com,,,Apparel/Accessories,,"Herzogenaurach,Germany",,"adidas AG engages in design, distribution and marketing of athletic and sporting lifestyle products. It operates through the following segments: Wholesale, Retail, TaylorMade-adidas Golf, Rockport, Reebok-CCM Hockey, and Other Centrally Managed Brands. The Wholesale segment offers all business activities relating to the distribution of adidas and Reebok products to retail customers. The Retail segment comprises all business activities relating to the sale of adidas and Reebok products directly to end consumers through own retail and own e-commerce platforms. The TaylorMade-adidas Golf segment includes designs, develops and distributes primarily golf clubs, balls and accessories. The Rockport segment designs and distributes leather footwear for men and women. The Reebok-CCM Hockey segment engages in designs, produces and distributes ice hockey equipment such as sticks, skates and protection gear. The Other Centrally Managed Brands segment involves in the business activities of labels Y-3 and Porsche Design Sport by adidas. The company was founded by Adolf Dassler in 1920 and is headquartered in Herzogenaurach, Germany."
Aditi Technologies,www.aditi.com,,," IT Services
IT Consulting",," Bangalore, India",,
Aditya Birla Group,www.adityabirla.com,,66525000,Conglomerate," Agribusiness
Carbon black
Cement
Chemicals
E-commerce
Ferro chem
Financial services
Mining
Retail
Telecommunications
Textile
Wind power
Trading solutions"," Mumbai, India","
Aditya Birla Group Headquarters - Aditya Birla Centre, 3rd Floor, S K Ahire Marg, Worli, Mumbai, India","A US $41 billion (Rs. 2,50,000 crore) corporation, the Aditya Birla Group is in the League of Fortune 500. Anchored by an extraordinary force of over 120,000 employees, belonging to 42 nationalities. Over 50 per cent of its revenues flow from its overseas operations spanning 36 countries.

The Aditya Birla Group has been ranked fourth in the world and first in Asia Pacific in the ‘Top Companies for Leaders’ study 2011, conducted by Aon Hewitt, Fortune Magazine and RBL (a strategic HR and leadership Advisory firm). The Group has topped the Nielsen's Corporate Image Monitor 2014-15 and emerged as the Number one corporate, the 'Best in Class', for the third consecutive year.

Globally, the Aditya Birla Group is:
A metals powerhouse, among the world's most cost-efficient aluminium and copper producers. Hindalco-Novelis is the largest aluminium rolling company. It is one of the three biggest producers of primary aluminium in Asia, with the largest single location copper smelter
No.1 in viscose staple fibre
No.1 in carbon black
The fourth-largest producer of insulators
The fifth-largest producer of acrylic fibre
Among the top 5 cement producers globally
Among the best energy-efficient fertiliser plants
The largest Indian MNC with manufacturing operations in the USA, wherein 95 per cent of the workforce comprises of Americans
Aditya Birla Group – The Indian Scenario
A top fashion (branded apparel) and lifestyle player
The second-largest player in viscose filament yarn
The largest producer in the chlor-alkali sector
Among the top three mobile telephony companies
A leading player in life insurance and asset management
Among the top two supermarket chains in the retail business
Aditya Birla Group – Beyond Business
Reaches out annually to 7.5 million people through the Aditya Birla Centre for Community Initiatives and Rural Development, spearheaded by Mrs. Rajashree Birla.
Works in 5,000 villages globally.
Focuses on: health-care, education, the girl child, sustainable livelihood, women empowerment projects, infrastructure and espousing social reform.
Runs 42 schools which provide quality education to 45,000 children. Of these 18,000 students belong to the underprivileged segment. Merit Scholarships are given to 24,000 children from the interiors.
Its 18 hospitals tend to more than a million villagers.
Ongoing education, healthcare and sustainable livelihood projects in Philippines, Thailand, Indonesia, Egypt, Korea and Brazil, lift thousands of people out of poverty.
Set up the Aditya Birla India Centre at the London Business School.
The Aditya Birla Group transcends conventional barriers of business because we care. We believe it is our duty to facilitate inclusive growth as well."
Admiral Group plc,www.admiralgroup.co.uk,,,Property & Casualty Insurance,,"Cardiff,United Kingdom",,"Admiral Group Plc operates as a holding company that engages in the business of sale and underwriting of private car insurance. The company operates through four segments: UK Car Insurance, International Car Insurance, Price Comparison and Other. The UK Car Insurance segment consists of the underwriting of car insurance and other products that supplement the car insurance policy. The International Car Insurance segment consists of the underwriting of car insurance and the generation of ancillary income from underwriting car insurance outside of the UK. The Price Comparison segment operates price comparison websites which include Confused in the UK, Rastreator in Spain and LeLynx in France. The Other segment is designed to be comprised of all other operating segments that do not meet the threshold requirements for individual reporting. Admiral Group was founded by David Graham Stevens on September 24, 1999 and is headquartered in Cardiff, the United Kingdom."
Adobe Systems,www.adobe.com,,,Software & Programming,,"San Jose, California,United States",,"Adobe Systems,, provides digital marketing and digital media solutions. These include: Adobe Creative Cloud, which offers tools and cloud-based services for creating digital media; Adobe Document Cloud, which provides a way to manage documents at home, in the office, and across devices; and Adobe Marketing Cloud, which delivers solutions for data-driven marketing. Adobe's investment in innovation and creative thinking is reflected in its approximately 3,400 patents issued worldwide, and the company has approximately 15,000 employees in 41 countries. Adobe was founded in 1982 by Charles Geschke and John Warnock and is headquartered in San Jose, California."
Adriatic Croatia International Club,www.aci-marinas.com,,,Nautical tourism,,"Opatija, Croatia",,
Adris grupa,www.adris.hr,,,"Tobacco, Tourism",,"Rovinj, Croatia",,
ADT Corp,www.adt.com,,,"Burglary, Fire and Carbon Monoxide detection, Fire suppression, Security systems, Communication systems, Video surveillance, Access control, Radio frequency identification, Electronic article surveillance","electronic security, fire protection and other related alarm monitoring ","Boca Raton, Florida, United States",,
Advance Auto Parts,www.advanceautoparts.com,,,Specialty Stores,,"Roanoke, Virginia,United States",,"Advance Auto Parts, is a retailer of automotive aftermarket parts, accessories, batteries and maintenance items. Its stores carry an extensive product line for cars, vans; sport utility vehicles and light trucks. The company operates through two segments: Advance Auto Parts and Autopart International. The Advance Auto Parts segment is comprised of its store operations within the Northeastern, Mid-Atlantic, Southeastern and Midwestern regions of the United States, Puerto Rico and the Virgin Islands, which operate under the trade names Advance Auto Parts, Advance Discount Auto Parts and Western Auto. The Autopart International segment serves the commercial market for imported cars from its store locations in the Northeastern and Mid-Atlantic regions of the U.S. and Florida. The company was founded by Arthur Taubman in 1929 and is headquartered in Roanoke, VA."
Advanced Chemical Industries (ACI),www.aci-bd.com,,,"chemicals, foods, pharma, consumer products, logistics, consumer electronics, automobile services, communication",,"Dhaka, Bangladesh",,
Advanced Info Service,www.ais.co.th,,,Telecommunications services,,"Bangkok,Thailand",,"Advanced Info Service Public Co., engages in the provision of mobile telecommunication services. It operates through the following segments: Mobile Phone and Call Center Services, Mobile Phone Sales, and Datanet and Broadband Services. It provides domestic mobile, international direct dialing, and international roaming service. The company was founded on April 24, 1986 and is headquartered in Bangkok, Thailand."
